step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
56,1,56.0,0.0,32.0,32.0,0.6893310546875,87.57535999757238,4303.3583984375,,,,,
57,1,57.0,0.0,32.0,32.0,0.695068359375,88.4307470114436,4303.3583984375,,,,,
58,1,58.0,0.0,32.0,32.0,0.7115478515625,90.8480480138678,4303.3583984375,,,,,
59,1,59.0,0.0,32.0,32.0,0.71893310546875,88.8460369897075,4303.3583984375,,,,,
60,1,60.0,0.0,32.0,32.0,0.70013427734375,86.45426100702025,4303.3583984375,,,,,
61,1,61.0,0.0,32.0,32.0,0.71380615234375,85.95979900564998,4303.3583984375,,,,,
62,1,62.0,0.0,32.0,32.0,0.72216796875,82.4975429859478,4303.3583984375,,,,,
63,1,63.0,0.0,32.0,32.0,0.6976318359375,81.34184399386868,4303.3583984375,,,,,
64,1,64.0,0.0,32.0,32.0,0.68450927734375,79.85826200456358,4303.3583984375,,,,,
65,1,65.0,0.0,32.0,32.0,0.6939697265625,80.29134300886653,4303.3583984375,,,,,
66,1,66.0,0.0,32.0,32.0,0.69537353515625,81.5684290137142,4303.3583984375,,,,,
67,1,67.0,0.0,32.0,32.0,0.700439453125,85.03053800086491,4303.3583984375,,,,,
68,1,68.0,0.0,32.0,32.0,0.687744140625,86.85137500287965,4303.3583984375,,,,,
69,1,69.0,0.0,32.0,32.0,0.6904296875,87.88624001317658,4303.3583984375,,,,,
70,1,70.0,0.0,32.0,32.0,0.6715087890625,89.15794099448249,4303.3583984375,,,,,
71,1,71.0,0.0,32.0,32.0,0.6895751953125,86.64618601324037,4303.3583984375,,,,,
72,1,72.0,0.0,32.0,32.0,0.70166015625,86.6228160157334,4303.3583984375,,,,,
73,1,73.0,0.0,32.0,32.0,0.6881103515625,85.02287397277541,4303.3583984375,,,,,
74,1,74.0,0.0,32.0,32.0,0.6798095703125,83.16341499448754,4303.3583984375,,,,,
75,1,75.0,0.0,32.0,32.0,0.711669921875,80.84564600721933,4303.3583984375,,,,,
76,1,76.0,0.0,32.0,32.0,0.692626953125,80.85390800260939,4303.3583984375,,,,,
77,1,77.0,0.0,32.0,32.0,0.67645263671875,81.21191497775726,4303.3583984375,,,,,
78,1,78.0,0.0,26.0,26.0,0.6765324473381042,72.81586600583978,3852.2724609375,,,,,
