step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1.0,0.0,32.0,32.0,0.7186872959136963,464.84660101123154,6168.9111328125,,,,,
2,1,2.0,0.0,32.0,32.0,0.7001956701278687,161.22555400943384,7769.7900390625,,,,,
3,1,3.0,0.0,32.0,32.0,0.7329214811325073,124.25846798578276,7650.2841796875,,,,,
4,1,4.0,0.0,32.0,32.0,0.6664345860481262,125.3339410177432,7769.0400390625,,,,,
5,1,5.0,0.0,32.0,32.0,0.6762325763702393,126.6144520486705,7769.0400390625,,,,,
6,1,6.0,0.0,32.0,32.0,0.687111496925354,128.10932903084904,7769.0400390625,,,,,
7,1,7.0,0.0,32.0,32.0,0.7119908928871155,175.5438719992526,7769.0400390625,,,,,
8,1,8.0,0.0,32.0,32.0,0.7180131077766418,166.3521399605088,7769.0400390625,,,,,
9,1,9.0,0.0,32.0,32.0,0.6920626163482666,138.83308897493407,7769.0400390625,,,,,
10,1,10.0,0.0,32.0,32.0,0.6858367323875427,128.04159795632586,7769.0400390625,,,,,
11,1,11.0,0.0,32.0,32.0,0.6843223571777344,127.65874399337918,7769.0400390625,,,,,
12,1,12.0,0.0,32.0,32.0,0.6376139521598816,126.52195495320484,7769.0400390625,,,,,
13,1,13.0,0.0,32.0,32.0,0.6398792266845703,135.84469899069518,7769.0400390625,,,,,
14,1,14.0,0.0,32.0,32.0,0.7326562404632568,152.37466600956395,7769.0400390625,,,,,
15,1,15.0,0.0,32.0,32.0,0.7667311429977417,160.43258999707177,7769.0400390625,,,,,
16,1,16.0,0.0,32.0,32.0,0.7532191872596741,140.84204100072384,7769.0400390625,,,,,
17,1,17.0,0.0,32.0,32.0,0.72539883852005,134.40871296916157,7769.0400390625,,,,,
18,1,18.0,0.0,32.0,32.0,0.7504319548606873,127.3842470254749,7769.0400390625,,,,,
19,1,19.0,0.0,32.0,32.0,0.6730433702468872,127.38795398036018,7769.0400390625,,,,,
20,1,20.0,0.0,32.0,32.0,0.6529780030250549,140.08040697081017,7769.0400390625,,,,,
21,1,21.0,0.0,32.0,32.0,0.6920977830886841,145.9305069874972,7769.0400390625,,,,,
22,1,22.0,0.0,32.0,32.0,0.6804950833320618,151.85628802282736,7769.0400390625,,,,,
23,1,23.0,0.0,32.0,32.0,0.7050507664680481,144.01258499128744,7769.0400390625,,,,,
24,1,24.0,0.0,32.0,32.0,0.6622927188873291,134.55360400257632,7769.0400390625,,,,,
25,1,25.0,0.0,32.0,32.0,0.693172037601471,130.89314702665433,7769.0400390625,,,,,
